Country,Value,Date,Day
Sierra Leone,3713,41939,217
Guinea,1384,41939,217
Liberia,2304,41940,218
Sierra Leone,3760,41940,218
Guinea,1395,41940,218
Liberia,2395,41941,219
Guinea,1409,41941,219
Liberia,2437,41942,220
Sierra Leone,3841,41942,220
Guinea,1415,41942,220
Liberia,2451,41943,221
Sierra Leone,3936,41943,221
Guinea,1424,41943,221
Sierra Leone,3996,41944,222
Guinea,1435,41944,222
Liberia,2456,41945,223
Sierra Leone,4057,41945,223
Guinea,1457,41945,223
Liberia,2472,41946,224
Guinea,1479,41946,224
Liberia,2514,41947,225
Guinea,1494,41947,225
Guinea,1516,41948,226
Liberia,2536,41949,227
Sierra Leone,4232,41949,227
Guinea,1551,41949,227
Liberia,2542,41950,228
Sierra Leone,4277,41950,228
Guinea,1561,41950,228
Liberia,2553,41951,229
Sierra Leone,4433,41951,229
Guinea,1570,41951,229
Guinea,1612,41952,230
Sierra Leone,4617,41953,231
Guinea,1629,41953,231
Guinea,1647,41954,232
Sierra Leone,4744,41955,233
Guinea,1659,41955,233
Liberia,2628,41956,234
Sierra Leone,4828,41956,234
Guinea,1671,41956,234
Sierra Leone,4913,41957,235
Guinea,1677,41957,235
Sierra Leone,4967,41958,236
Guinea,1688,41958,236
Liberia,2669,41959,237
Sierra Leone,5056,41959,237
Sierra Leone,5109,41960,238
Guinea,1729,41960,238
Liberia,2673,41961,239
Sierra Leone,5152,41961,239
Guinea,1745,41961,239
Liberia,2717,41962,240
Sierra Leone,5210,41962,240
Guinea,1769,41962,240
Liberia,2726,41963,241
Sierra Leone,5304,41963,241
Guinea,1791,41963,241
Liberia,2726,41964,242
Sierra Leone,5355,41964,242
Guinea,1817,41964,242
Liberia,2727,41965,243
Sierra Leone,5402,41965,243
Guinea,1830,41965,243
Liberia,2738,41966,244
Sierra Leone,5441,41966,244
Guinea,1850,41966,244
Liberia,2753,41967,245
Sierra Leone,5524,41967,245
Guinea,1871,41967,245
Sierra Leone,5595,41968,246
Guinea,1892,41968,246
Sierra Leone,5683,41969,247
